mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,junk
18.0,8,307.0,130.0,3504.0,12.0,70.0,1,chevrolet chevelle malibu,-1.0912267652301768
15.0,8,350.0,165.0,3693.0,11.5,70.0,1,buick skylark 320,0.3226558987808827
18.0,8,318.0,150.0,3436.0,11.0,70.0,1,plymouth satellite,-0.6636417021785695
16.0,8,304.0,150.0,3433.0,12.0,70.0,1,amc rebel sst,0.1965405025933397
17.0,8,302.0,140.0,3449.0,10.5,70.0,1,ford torino,-0.3088580742196734
15.0,8,429.0,198.0,4341.0,10.0,70.0,1,ford galaxie 500,-1.216290948166458
14.0,8,454.0,220.0,4354.0,9.0,70.0,1,chevrolet impala,1.0484539425703212
14.0,8,440.0,215.0,4312.0,8.5,70.0,1,plymouth fury iii,-1.5573973788981663
14.0,8,455.0,225.0,4425.0,10.0,70.0,1,pontiac catalina,0.3346193359096772
15.0,8,390.0,190.0,3850.0,8.5,70.0,1,amc ambassador dpl,-0.14330126262667867
15.0,8,383.0,170.0,3563.0,10.0,70.0,1,dodge challenger se,-0.1870949121754287
14.0,8,340.0,160.0,3609.0,8.0,70.0,1,plymouth 'cuda 340,0.09339906626913866
15.0,8,400.0,150.0,3761.0,9.5,70.0,1,chevrolet monte carlo,0.0017002862806644351
14.0,8,455.0,225.0,3086.0,10.0,70.0,1,buick estate wagon (sw),-0.4939121234901687
24.0,4,113.0,95.00,2372.0,15.0,70.0,3,toyota corona mark ii,-1.366588434253687
22.0,6,198.0,95.00,2833.0,15.5,70.0,1,plymouth duster,1.9416774989312071
18.0,6,199.0,97.00,2774.0,15.5,70.0,1,amc hornet,1.5884157405482278
21.0,6,200.0,85.00,2587.0,16.0,70.0,1,ford maverick,0.6172685332871133
27.0,4,97.0,88.00,2130.0,14.5,70.0,3,datsun pl510,1.4393320086091264
26.0,4,97.0,46.00,1835.0,20.5,70.0,2,volkswagen 1131 deluxe sedan,1.4596596076613713
